text,unfairness_level
"If you are using our Service for an organization, you are agreeing to these Terms on behalf of that organization.",potentially_unfair
"You acknowledge that we do not pre-screen Content, but that we shall have the right (but not the obligation) to refuse, move or delete any Content that is available via the Service.",clearly_unfair
In no event shall Weebly be liable to you or any third party for your use or alleged use of any Third Party Materials.,potentially_unfair
"Should we, due to failure on the part of you, the account holder, or the new domain name service provider, be unable to make the domain transfer to your new domain name service provider, we are expressly entitled to have the cancelled domain name deleted by the relevant domain name service provider after the cancellation date has lapsed, and we will not be liable to you or any third party for such deletion.",potentially_unfair
Your use of the Email Marketing Service serves as your consent to these terms.,potentially_unfair
"If your account is terminated, we may permanently delete it and any associated data.",clearly_unfair
"If you continue to use the Services after the changes are posted, you are agreeing that the changes apply to your continued use of the Services.",potentially_unfair
"We also are not responsible for information, materials, products, or services provided by other players (for instance, in their profiles) and User Content is not approved by us.",potentially_unfair
Zynga may revise the pricing for the goods and services it licenses to you through the Services at any time.,potentially_unfair
"For more specific information, please read carefully the Terms below.",clearly_unfair
"Nevertheless, the English version governs your relationship with Yelp, and any inconsistencies among the different versions will be resolved in favor of the English version.",potentially_unfair
The restrictions above only apply to the extent permissible under applicable law.,potentially_unfair
You represent that you have read and understood them.,clearly_unfair
These additional rules and terms apply in addition to these Terms and are important.,clearly_unfair
They will apply in addition to these Terms.,clearly_unfair
"This applies to all claims under any legal theory, unless the claim fits within the Exceptions to Agreement to Arbitrate identified below.",clearly_unfair
"If the translated version means something different from the English version, then the English meaning will be the one that applies.",clearly_unfair
